NameSet,Number,Surname,GivenName,MiddleInitial,StreetAddress,ZipCode,EmailAddress,Username,TelephoneNumber,Centimeters,Kilograms,Birthday,Company,NationalID
American,1,Benoit,Lauren,P,"2663 Oakdale Avenue",33868,LaurenPBenoit@cuvox.de,Scondlefory,863-512-6523,166,78.4,2/23/1968,"Crazy Tiger",767-18-3049
American,2,Pierce,Phyllis,M,"2716 Cerullo Road",40202,PhyllisMPierce@jourrapide.com,Refricen,502-469-0910,169,58.3,5/21/1989,"Reliable Investments",404-54-8354
American,3,Jones,Mark,M,"2103 Stockert Hollow Road",98109,MarkMJones@jourrapide.com,Sherack85,425-954-3126,183,72.4,3/20/1985,"Endicott Johnson",535-76-5558
American,4,Richardson,Candice,D,"1801 Tail Ends Road",54301,CandiceDRichardson@teleworm.us,Veleelf,920-569-2556,172,60.7,8/5/1994,"Total Sources",399-76-4435
American,5,Owens,Larry,S,"4136 Chardonnay Drive",98161,LarrySOwens@armyspy.com,Thetund,360-259-1544,177,73.0,5/27/1967,"Eagle Food Centers",538-68-7134
American,6,Irwin,Nancy,G,"2737 Moore Avenue",76272,NancyGIrwin@armyspy.com,Undis1942,817-726-4053,154,94.5,3/20/1942,"Gas Depot",451-41-5456
American,7,Lawrence,Linda,G,"4019 Saint Marys Avenue",13224,LindaGLawrence@gustr.com,Ninsat,315-796-8815,156,96.3,2/20/1962,"Parade of Shoes",052-20-7764
American,8,Leone,Paula,J,"931 Dawson Drive",72212,PaulaJLeone@armyspy.com,Givand,501-868-5121,167,65.0,11/7/1964,"Federated Group",431-49-0467
American,9,Pinkham,Michele,A,"4293 Sumner Street",90045,MicheleAPinkham@einrot.com,Brelf1989,310-649-7397,168,84.2,5/25/1989,"The Independent Planners",552-48-0726
American,10,Key,Clara,F,"4530 Saint Clair Street",39213,ClaraFKey@rhyta.com,Ainal1986,662-614-5956,158,102.5,2/4/1986,"Mr. Steak",587-55-8360
American,11,Franklin,Andrew,J,"4691 Stoneybrook Road",32810,AndrewJFranklin@fleckens.hu,Thuthe,321-525-7798,170,78.4,2/17/1959,Hastings,593-27-2170
American,12,Thiel,Anthony,P,"4961 Worley Avenue",23227,AnthonyPThiel@cuvox.de,Swersocing,434-533-6352,169,106.5,5/30/1997,"Just For Feet",231-71-9408
American,13,Sobers,Douglas,B,"4678 Lang Avenue",84720,DouglasBSobers@jourrapide.com,Bendind,435-865-6917,174,115.9,10/1/1968,"Lionel Kiddie City",647-48-0262
